case_id,course_id,question,relevant_node_ids
RET001,python_intro,哪个运行环境负责执行源代码并返回报错信息,py_02
RET002,python_intro,怎样给一份数据起名字并在程序中反复读取,py_03
RET003,python_intro,整数小数文本和真假值为什么需要分类,py_04
RET004,python_intro,程序需要按照真假判断走不同分支时应学习什么,py_07
RET005,python_intro,需要重复处理一组元素时应使用哪类结构,py_08
RET006,python_intro,怎样把一段逻辑封装起来供多处重复使用,py_09
RET007,python_intro,调用一个功能时如何把外部数据交给它,py_10
RET008,python_intro,哪种可变容器适合按顺序保存多个成绩,py_11
RET009,python_intro,哪种容器适合用姓名对应成绩这样的键值方式保存信息,py_12
RET010,python_intro,怎样捕获运行错误让程序不会直接崩溃,py_15
RET011,database_systems,怎样用二维表来表达现实中的实体及其联系,db_03
RET012,database_systems,哪个字段能够唯一确定表中的一条记录,db_07
RET013,database_systems,什么约束可以表达两张表之间的引用,db_08
RET014,database_systems,怎样通过设计规范减少表中冗余和更新异常,db_10
RET015,database_systems,属性之间一个值能够确定另一个值属于什么约束,db_11
RET016,database_systems,一组数据库操作需要作为不可分割的整体执行,db_12
RET017,database_systems,多个操作同时运行时怎样维持数据一致,db_14
RET018,database_systems,为了加快查询而建立的辅助数据结构是什么,db_16
RET019,database_systems,哪种多路平衡树适合范围查询和叶子链表扫描,db_17
RET020,database_systems,系统怎样依据统计信息选择成本更低的执行计划,db_18
